UID,Input Type,Entry Content,Tags,Linked Domain(s),Source,Parsed?,GPT Summary UID,Daily Summary,Weekly Digest,Created Time,Date,Test?
TL-recjTr9Cv48SfcYkS,Voice,Thinking about Cole for a second and how we can get him to give him more structure I'm wondering how I can do that off the basketball basketball court as well as all ,,,Siri,,recsTLJ8OPkB6Ptt7,DS-recsTLJ8OPkB6Ptt7,,5/13/2025 3:24pm,,
TL-recQMortVoXpNJyzi,Voice,Thinking about Cole for a second and how we can get him to give him more structure I'm wondering how I can do that off the basketball basketball court as well as all ,,,Siri,checked,recSZihSMttHZvs5w,DS-recSZihSMttHZvs5w,,5/20/2025 2:41pm,,
TL-recD6CEdPjGiGkRUS,Voice,Need to figure out how do I run MAX Potential basketball and these other verticals concurrently or at least build them out concurrently and to have a conversation with people in these articles and Charlene the groundwork for these verticals even if they're inherently the main thing ,,,Siri,,recIoJLCFQbsxhjLP,DS-recIoJLCFQbsxhjLP,,5/13/2025 3:26pm,,
TL-recVeVB9UeQ7hivCy,Voice,Need to figure out how do I run MAX Potential basketball and these other verticals concurrently or at least build them out concurrently and to have a conversation with people in these articles and Charlene the groundwork for these verticals even if they're inherently the main thing ,,,Siri,,recIoJLCFQbsxhjLP,DS-recIoJLCFQbsxhjLP,,5/20/2025 2:41pm,,
TL-recEHBDQxoR4nN3AP,Voice,Next week really need to start using the system consistently going to fill-in as much as we can ,,,Siri,,recx2dE5NRcQXWQzj,DS-recx2dE5NRcQXWQzj,,5/15/2025 5:13pm,,
TL-recfBuJno96y4oElh,Voice,Next week really need to start using the system consistently going to fill-in as much as we can ,,,Siri,,recx2dE5NRcQXWQzj,DS-recx2dE5NRcQXWQzj,,5/20/2025 2:41pm,,
TL-reca9uv2MQ7J5DKrY,Voice,Thinking back to my high school days and this is after I just finished building a planter for my wife for her vegetable garden for our vegetable garden and was thinking about letting Cole finish up with the screwdriver the electric screwdriver that we have so they can feel like he accomplished and I started to think back to my times in high school when I was in shock class and how that made me understand the value of patience and precision which are the things some of the things that I carry through with me throughout life and it was just a reminder because on the back of the electric screwdriver or the electric drill with a screwdriver bed is a self leveler or not a self level or a leveler with the bubble so I was thinking about how I have to explain that to him and how to precision of what he's doing is important because if things don't lineup then things fall apart ,,,Siri,,recDuWq0lPbrRiuyL,DS-recDuWq0lPbrRiuyL,,5/18/2025 4:24pm,,
TL-recdhuWMQUjDkBYH0,Voice,Thinking back to my high school days and this is after I just finished building a planter for my wife for her vegetable garden for our vegetable garden and was thinking about letting Cole finish up with the screwdriver the electric screwdriver that we have so they can feel like he accomplished and I started to think back to my times in high school when I was in shock class and how that made me understand the value of patience and precision which are the things some of the things that I carry through with me throughout life and it was just a reminder because on the back of the electric screwdriver or the electric drill with a screwdriver bed is a self leveler or not a self level or a leveler with the bubble so I was thinking about how I have to explain that to him and how to precision of what he's doing is important because if things don't lineup then things fall apart ,,,Siri,,recDuWq0lPbrRiuyL,DS-recDuWq0lPbrRiuyL,,5/20/2025 2:41pm,,
TL-recm6HMGGliYPmfyT,Voice,Call woke up really emotional today I'm not exactly sure why also not sure I handled his emotions the best way possible when it came upstairs crying but any touching and kicking on the scratching this is a common theme I'm trying to get to the bottom of it for him and for me because of this anxiety in the morning it was very difficult for me to deal with ,,,Siri,,recrxGNYmrygD5XC4,DS-recrxGNYmrygD5XC4,,5/19/2025 7:35am,,
TL-rec5n9GpdabdOEL7S,Voice,Call woke up really emotional today I'm not exactly sure why also not sure I handled his emotions the best way possible when it came upstairs crying but any touching and kicking on the scratching this is a common theme I'm trying to get to the bottom of it for him and for me because of this anxiety in the morning it was very difficult for me to deal with ,,,Siri,,recrxGNYmrygD5XC4,DS-recrxGNYmrygD5XC4,,5/20/2025 2:41pm,,
