Name,UID,Tag Name,Category,Description,Active?,Common Use,Created Time,Last Modified
Contain + Challenge,TC-250506-071406,Contain + Challenge,Theme,"Focuses on containing the ball handler, then vertical contest without fouling",,,5/6/2025 3:14am,5/6/2025 7:41pm
Stop-to-Start Control,TC-250506-071406,Stop-to-Start Control,Theme,Develops body control transitioning from deceleration to acceleration,,,5/6/2025 3:14am,5/6/2025 7:41pm
Acceleration Windows,TC-250506-071406,Acceleration Windows,Theme,"Trains timing & burst acceleration in short, reactive movements",,,5/6/2025 3:14am,5/6/2025 7:41pm
Layered Read Stacks,TC-250506-071406,Layered Read Stacks,Theme,Players learn to chain reads: help → pass → closeout → shot decision,,,5/6/2025 3:14am,5/6/2025 7:41pm
Instinct Expansion,TC-250506-071406,Instinct Expansion,Theme,"Encourages creativity, freedom, & unexpected choices in guided chaos environments",,,5/6/2025 3:14am,5/6/2025 7:41pm
Transfer Checkpoint,TC-250506-071406,Transfer Checkpoint,Theme,Used to mark a practice or session that checks if a trained skill transfers to live play,,,5/6/2025 3:14am,5/6/2025 7:41pm
Development Block,TC-250506-071406,Development Block,Theme,"Tag entire pods or multi-session themes under one shared learning arc (e.g., spacing week)",,,5/6/2025 3:14am,5/6/2025 7:41pm
Initiate-to-Advantage,TC-250506-071406,Initiate-to-Advantage,Theme,Not all actions create scoring chances; teaches using actions to set up domino advantages,,,5/6/2025 3:14am,5/6/2025 7:41pm
Shot Creation Footwork,TC-250506-071406,Shot Creation Footwork,Theme,"Centers on jab steps, lifts, punch dribbles, quick pickups for shot creation pre-shot",,,5/6/2025 3:14am,5/6/2025 7:41pm
Collapse + Kick Variation,TC-250506-071406,Collapse & Kick Variation,Theme,Variant focus on perimeter re-spots and high skip passes after collapse,,,5/6/2025 3:14am,5/7/2025 9:14pm
Transition Start (Full Court),TC-250506-071406,Transition Start (Full Court),Game Phase,Focus on immediate advantage off rebound/steal; opponents not fully set,,,5/6/2025 3:14am,5/6/2025 7:41pm
Early Offense (14+ on Shot Clock),TC-250506-071406,Early Offense (14+ on Shot Clock),Game Phase,Semi-transition with partial defense set but still pacing advantage,,,5/6/2025 3:14am,5/6/2025 7:41pm
Half Court Set,TC-250506-071406,Half Court Set,Game Phase,"Offense fully in half-court alignment, defense set",,,5/6/2025 3:14am,5/6/2025 7:41pm
Late Clock (under 8s),TC-250506-071406,Late Clock (under 8s),Game Phase,Forcing quick shot or immediate action due to time constraints,,,5/6/2025 3:14am,5/6/2025 7:41pm
End of Quarter/Period,TC-250506-071406,End of Quarter/Period,Game Phase,Focus on final possession for the period or quarter,,,5/6/2025 3:14am,5/6/2025 7:41pm
Baseline Inbounds (BLOB),TC-250506-071406,Baseline Inbounds (BLOB),Game Phase,"Offense inbounding from baseline, using special sets or quick hitters",,,5/6/2025 3:14am,5/6/2025 7:41pm
Sideline Inbounds (SLOB),TC-250506-071406,Sideline Inbounds (SLOB),Game Phase,"Offense inbounding from sideline, sets or triggers used",,,5/6/2025 3:14am,5/6/2025 7:41pm
Press Break,TC-250506-071406,Press Break,Game Phase,"Facing full-court pressure, ensuring structured release or advantage",,,5/6/2025 3:14am,5/6/2025 7:41pm
Foul or FT Scenario,TC-250506-071406,Foul or FT Scenario,Game Phase,"Adapting to free throws, rebound battles, or end-of-game foul logic",,,5/6/2025 3:14am,5/6/2025 7:41pm
Crunch Time (last 2 minutes),TC-250506-071406,Crunch Time (last 2 minutes),Game Phase,Critical possessions with strategic time management & specialized sets,,,5/6/2025 3:14am,5/6/2025 7:41pm
Level 1 - Base & Balance,TC-250506-191045,Level 1 - Base & Balance,Level,"Foundational stance, balance, and readiness for movement and control.",,,5/6/2025 3:10pm,5/7/2025 10:14pm
Level 2 - Ball Control,TC-250506-191050,Level 2 - Ball Control,Level,"Mastery of dribble protection, footwork, and simple pass control.",,,5/6/2025 3:10pm,5/7/2025 10:14pm
Level 3 - Finishing Foundation,TC-250506-191050,Level 3 - Finishing Foundation,Level,Ability to finish with both hands through contact in varied foot patterns.,,,5/6/2025 3:10pm,5/7/2025 10:14pm
Level 4 - Reading Advantage,TC-250506-191050,Level 4 - Reading Advantage,Level,Recognition of advantage windows created by others or defense breakdowns.,,,5/6/2025 3:10pm,5/7/2025 10:14pm
Level 5 - Creating Advantage,TC-250506-191050,Level 5 - Creating Advantage,Level,Creation of advantage through self-generated action or physical manipulation.,,,5/6/2025 3:10pm,5/7/2025 10:14pm
Level 6 - Maintaining Advantage,TC-250506-191050,Level 6 - Maintaining Advantage,Level,Understanding how to maintain advantage through smart decisions or pacing.,,,5/6/2025 3:10pm,5/6/2025 7:41pm
Level 7 - Layered Reads,TC-250506-191050,Level 7 - Layered Reads,Level,Reading defenders mid-rotation or stunt to choose among 2–3 layered options.,,,5/6/2025 3:10pm,5/6/2025 7:41pm
Level 8 - Complex Scenarios,TC-250506-191050,Level 8 - Complex Scenarios,Level,Making adaptive decisions in high-pressure or complex game situations.,,,5/6/2025 3:10pm,5/6/2025 7:41pm
Level 9 - Endgame Creation,TC-250506-191050,Level 9 - Endgame Creation,Level,Creating scoring opportunities under late-clock or high-stakes conditions.,,,5/6/2025 3:10pm,5/6/2025 7:41pm
Layer 1 - Spacing Structure,TC-250506-191050,Layer 1 - Spacing Structure,Layer,Understands basic spatial roles and floor balance without needing cues.,,,5/6/2025 3:10pm,5/6/2025 7:41pm
Layer 2 - Trigger Awareness,TC-250506-191050,Layer 2 - Trigger Awareness,Layer,"Responds to ball and player triggers with concept-based actions (e.g., cut, fill).",,,5/6/2025 3:10pm,5/6/2025 7:41pm
Layer 3 - Advantage Chaining,TC-250506-191050,Layer 3 - Advantage Chaining,Layer,"Chains together multiple actions (e.g., kick, relocate, drive) without breakdown.",,,5/6/2025 3:10pm,5/6/2025 7:41pm
Layer 4 - Counter Layer,TC-250506-191050,Layer 4 - Counter Layer,Layer,"Knows how to counter switches, recoveries, or deny coverage patterns.",,,5/6/2025 3:10pm,5/6/2025 7:41pm
Layer 5 - Coverage Reads,TC-250506-191050,Layer 5 - Coverage Reads,Layer,"Adjusts based on team defensive coverages: drop, ICE, hard hedge, etc.",,,5/6/2025 3:10pm,5/6/2025 7:41pm
Layer 6 - Adaptive Autonomy,TC-250506-191050,Layer 6 - Adaptive Autonomy,Layer,"Fully autonomous within conceptual framework—reads, decides, executes in flow.",,,5/6/2025 3:10pm,5/6/2025 7:41pm
