UID,Linked Thought,Theme,Friction,Insight,Next Move,Prompt,Summary,Delivery Sent?,Project UID,Project Manager,Created Time,Weekly Digest
DS-rec1KCrupN9f7Hgir,,connection,connection,connection,connection,connection,,,,,5/20/2025 2:47pm,
DS-recTii4zmYIKRGpSp,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recMOYe0TLWczPfXw,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recUxBXYVFy6VqDd2,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recEKtAF6940neP5r,,action,action,action,action,action,,,,,5/20/2025 2:47pm,
DS-recC7WxMZq2yJQARO,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-rec2ZDljWT45jDD4a,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recVZR78WvYL8zxPU,,awareness,awareness,awareness,awareness,awareness,,,,,5/20/2025 2:47pm,
DS-recU8XdHF0IoS41QC,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recOH2VtulZNBfyQN,,balance,balance,balance,balance,balance,,,,,5/20/2025 2:47pm,
DS-recwAy2FWqsVbVqUg,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recyWTn10dFdHDE3g,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recfFOEBSggbDjbWE,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recrrvX14ICqlgpVU,,action,action,action,action,action,,,,,5/20/2025 2:47pm,
DS-recs1bpyLjUJ4ZNbc,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-reciTjXhiGJknIxlB,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recfU3cbrh2BFZN3o,,identity,identity,identity,identity,identity,,,,,5/20/2025 2:47pm,
DS-recoRMDUNUlfqVFLg,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recXdO5NMuiskN6ZF,,connection,connection,connection,connection,connection,,,,,5/20/2025 2:47pm,
DS-recGdHLcP98PkgPYM,TL-recidUU6qbhtaJ3Lu,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recSZihSMttHZvs5w,TL-recQMortVoXpNJyzi,fatherhood,fatherhood,fatherhood,fatherhood,fatherhood,,,,,5/20/2025 2:47pm,
DS-recvI5dMHDFAMfwzV,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
