function_uid,function_value,function_type,description,synonyms
997e7c5f-2148-4b2a-9eaa-37fcf9984618,Passing,Skill,"Ball movement, assists, vision","kickout, dish, drop-off"
a20a5595-6a1b-47cf-8684-1d58b5fb5ec0,Left-Hand Only,Constraint,Player must use left hand for all actions,"no right hand, left only, off hand"
abe9b8ef-5b86-4057-951b-c25aa54f0645,Screen,Action,Set a screen to free a teammate,"pick, pick and roll, on-ball screen"
b0ef2442-c575-427f-8e2c-c6c49bc18644,1 Dribble Max,Constraint,Player limited to one dribble per possession,"single bounce, one dribble"
b254e89e-28f9-4f6f-8fcf-9e1b107c9960,Slip,Action,Cut to the rim after faking a screen,slip screen
b413fb5c-d9e7-4d17-8666-bf497d09be5e,Sprint to Space,Cue,Player must sprint into open area,"run wide, rim run"
b9166e8c-3222-4b03-aa7e-5041a821398d,Penetration,Action,Drive toward the paint to create an advantage,"attack, drive, get paint"
c77a7341-03e8-46ba-bbc7-932c013e0655,Finishing,Skill,At-rim and short-range scoring,"layups, floaters, paint scoring"
c9bf9427-6152-4f48-bce4-9ed9cc80e017,Right-Hand Only,Constraint,Player must use right hand for all actions,"no left hand, right only"
c9ddcab1-f784-4047-a65f-d75063befbb4,2v2,Format,Two-on-two live play format,two-on-two
d01745d9-aa01-4e5e-844a-b4c8c1f922e0,Stay Home,Cue,Do not help off your man,"no help, lockdown"
d33f7fa9-cf97-40a9-a188-bb617595bfe0,Lane Area,Space,Action/drill is restricted to the lane area,"paint, key"
d76c14ae-e504-49f9-ba6c-8f458ebb6134,Help Defense,Skill,Rotating and contesting from help position,"help-side, sink, rotate"
d9e66661-e9dc-4a7a-be62-dc4c44eb7c7f,Half Court,Space,Action/drill occurs in half-court only,
dfddf32c-48a4-4417-8cb6-8d3d6516f03c,3v3,Format,Three-on-three live play format,three-on-three
e58df5e3-7da4-4a28-8f8a-9e4135c2f678,Ball Pressure,Skill,Disrupting the ball handler,"on-ball D, pressure, pick up"
f20c7c37-f700-4162-bdf3-4717d617b5de,Kickback,Action,Reverse the ball to trailer or perimeter,"dribble push, reverse"
f3918cf0-cc59-4880-8425-868da3dcc6f0,Stay Vertical,Cue,No swiping or reaching on contests,"wall up, hands up"
f84bd0e5-caa7-46e4-8daa-0a7800404979,Push/Pull,Cue,Player must react to ball handler’s movement vector,"push cut, pull cut"
f935275d-ee4c-479c-aaf4-55764798509b,No Dribble,Constraint,"Player cannot dribble; must pass, cut, or shoot","pass only, catch and shoot"
fbead71f-7e65-4104-a089-a3abf97963e5,Composure,Skill,Staying calm under pressure,"poise, control, regulation"
fd24a8e4-9905-4005-8aa2-937821587d9e,Chaos Level: High,Theme,Play environment is highly unpredictable and variable,"scramble, disorganized"
